景点名称,url,星级,城市,地址,票价,销量,热度,评分,总销售额
深圳世界之窗,https://you.ctrip.com/sight/shenzhen26/2778.html?scene=online,0,深圳,华侨城,69,42000,8.2,4.5,2898000
深圳平安金融中心云际观光层,https://you.ctrip.com/sight/shenzhen26/4336342.html?scene=online,0,深圳,会展中心/CBD,180,21000,7.5,4.9,3780000
锦绣中华民俗村,https://you.ctrip.com/sight/shenzhen26/2776.html?scene=online,0,深圳,华侨城,59.9,21000,7.1,4.7,1257900
深圳欢乐谷,https://you.ctrip.com/sight/shenzhen26/13720.html?scene=online,0,深圳,华侨城,146,33000,7,4.8,4818000
深圳野生动物园,https://you.ctrip.com/sight/shenzhen26/6037.html?scene=online,4A,深圳,大学城/西丽动物园,99,13000,6.9,4.4,1287000
欢乐港湾,https://you.ctrip.com/sight/shenzhen26/5711027.html?scene=online,0,深圳,宝安商业区,0,698,6.5,4.6,0
湾区之光摩天轮,https://you.ctrip.com/sight/shenzhen26/112647075.html?scene=online,0,深圳,前海自贸区,99,1230,6.5,4.6,121770
招商蛇口邮轮母港游览,https://you.ctrip.com/sight/shenzhen26/103857634.html?scene=online,0,深圳,深圳湾口岸/蛇口,148,434,6.5,4.5,64232
小梅沙海滨乐园,https://you.ctrip.com/sight/shenzhen26/2780.html?scene=online,0,深圳,大小梅沙/东部华侨城,30,1875,6.5,4.7,56250
小梅沙海洋世界,https://you.ctrip.com/sight/shenzhen26/50516.html?scene=online,0,深圳,大小梅沙/东部华侨城,230,8038,6.4,4.4,1848740
